# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 236 2 1 1 0.5121 0.5067 0.5098 0.5124 0.5133 0.67437 0.25263 0.42174 2317700000.0 1758700000.0 0.0 0.5121 2.0 17.41 8.57 622000000.0 1172500000.0 0.2 -99.0 -99.0 -99.0 -99.0 -99.0 236 goodss-15-G141_00236 0.5121 3.0
goodss 237 3 1 -1 0.621 0.406 0.482 0.766 1.025 0.3385 0.28848 0.050026 2646600000.0 208620000.0 0.0 0.621 3.0 12.62 11.6 236780000.0 139080000.0 -1.88 -99.0 -99.0 -99.0 -99.0 -99.0 237 00000 -1.0 1.0
goodss 238 3 1 -1 2.7438 2.668 2.698 2.796 2.811 24.987 22.08 2.9069 202570000000.0 12122000000.0 0.0 2.744 3.0 16.55 11.84 13807000000.0 8081500000.0 -1.86 -99.0 -99.0 -99.0 -99.0 -99.0 238 00000 -1.0 3.0
goodss 241 3 1 -1 1.2905 1.094 1.165 1.402 1.773 4.9092 3.7573 1.152 34470000000.0 4803900000.0 0.0 1.291 3.0 20.58 12.82 5424900000.0 3202600000.0 -1.85 -99.0 -99.0 -99.0 -99.0 -99.0 241 00000 -1.0 1.0
goodss 242 3 1 -1 1.5558 1.415 1.476 1.636 1.802 1.9297 0.60387 1.3258 5540100000.0 5528900000.0 1.0 1.556 3.0 2.064 7.387 4667000000.0 3685900000.0 -1.35 -99.0 -99.0 -99.0 -99.0 -99.0 242 goodss-15-G141_00242 1.63663 1.0
goodss 244 3 1 -1 2.5877 2.499 2.535 2.643 2.662 7.6768 0.75329 6.9235 6910900000.0 28872000000.0 1.0 2.588 3.0 0.8259 10.03 24108000000.0 19248000000.0 -1.3 -99.0 -99.0 -99.0 -99.0 -99.0 244 goodss-15-G141_00244 2.63097 1.0
goodss 247 3 1 0 2.5548 2.487 2.503 2.608 2.65 9.4574 0.66409 8.7933 6092600000.0 36669000000.0 1.0 2.555 3.0 0.7909 8.17 32986000000.0 24446000000.0 -1.41 -99.0 -99.0 -99.0 -99.0 -99.0 247 00000 -1.0 1.0
goodss 250 3 1 -1 2.6528 2.559 2.596 2.713 2.752 23.994 18.375 5.6193 168570000000.0 23433000000.0 0.0 2.653 3.0 17.11 11.04 17022000000.0 15622000000.0 -1.03 -99.0 -99.0 -99.0 -99.0 -99.0 250 00000 -1.0 1.0
goodss 253 3 1 -1 0.9902 0.685 0.807 1.173 1.313 0.0937 -99.0 0.0937 -99.0 390740000.0 2.0 0.9902 3.0 -9.072 11.16 456540000.0 260500000.0 -1.91 -99.0 -99.0 -99.0 -99.0 -99.0 253 00000 -1.0 1.0
goodss 257 3 1 0 1.8657 1.677 1.8 1.939 2.014 10.639 7.6711 2.9677 70377000000.0 12376000000.0 0.0 1.866 3.0 27.72 6.931 9245600000.0 8250500000.0 -1.16 -99.0 -99.0 -99.0 -99.0 -99.0 257 00000 -1.0 1.0
goodss 258 2 1 1 1.328 1.3237 1.326 1.3311 1.3338 3.492 1.0598 2.4322 9722900000.0 10143000000.0 1.0 1.328 2.0 5.087 11.37 11466000000.0 6761800000.0 -1.88 4.84 0.9 328.48 72.91 1.126 258 goodss-15-G141_00258 1.32798 1.0
goodss 259 3 1 0 0.9072 0.848 0.868 0.95 0.995 0.29952 -99.0 0.29952 -99.0 1249100000.0 2.0 0.9072 3.0 -4.614 8.504 1178700000.0 832710000.0 -1.64 -99.0 -99.0 -99.0 -99.0 -99.0 259 00000 -1.0 1.0
goodss 260 3 1 0 0.8353 0.794 0.812 0.866 0.879 2.0368 0.82367 1.2132 7556600000.0 5059100000.0 0.0 0.8353 3.0 20.61 12.15 5595000000.0 3372700000.0 -1.87 -99.0 -99.0 -99.0 -99.0 -99.0 260 00000 -1.0 1.0
goodss 263 3 1 0 0.6718 0.639 0.651 0.695 0.703 1.3355 0.81995 0.51557 7522400000.0 2150000000.0 0.0 0.6718 3.0 31.08 10.61 2396700000.0 1433300000.0 -1.89 -99.0 -99.0 -99.0 -99.0 -99.0 263 00000 -1.0 1.0
goodss 265 3 1 -1 1.0857 1.017 1.046 1.124 1.153 1.5946 0.92198 0.67264 8458600000.0 2805000000.0 0.0 1.086 3.0 10.52 8.709 3109300000.0 1870000000.0 -1.86 -99.0 -99.0 -99.0 -99.0 -99.0 265 00000 -1.0 1.0
goodss 270 3 1 -1 0.6824 0.622 0.65 0.714 0.731 0.25459 -99.0 0.25459 -99.0 1061700000.0 2.0 0.6824 3.0 -5.711 9.043 1171900000.0 707790000.0 -1.88 -0.86 1.44 -69.58 117.01 1.207 270 goodss-15-G141_00270 0.69893 1.0
goodss 273 3 1 -1 0.587 0.499 0.532 0.659 0.694 0.066171 -99.0 0.066171 -99.0 275940000.0 2.0 0.587 3.0 -8.097 8.692 234980000.0 183960000.0 -1.48 1.3 2.28 102.17 189.44 0.763 273 goodss-15-G141_00273 0.66196 1.0
